Date;Bullish
2/1/2020;37,22%
9/1/2020;33,07%
16/1/2020;41,83%
23/1/2020;45,60%
30/1/2020;31,98%
6/2/2020;33,87%
13/2/2020;41,33%
20/2/2020;40,56%
27/2/2020;30,43%
5/3/2020;38,74%
12/3/2020;29,74%
19/3/2020;34,35%
26/3/2020;32,90%
2/4/2020;34,24%
9/4/2020;36,60%
16/4/2020;34,86%
23/4/2020;24,86%
30/4/2020;30,60%
7/5/2020;23,67%
14/5/2020;23,31%
21/5/2020;29,00%
28/5/2020;33,07%
4/6/2020;34,55%
11/6/2020;34,28%
18/6/2020;24,37%
25/6/2020;24,14%
2/7/2020;22,15%
9/7/2020;27,16%
16/7/2020;30,84%
23/7/2020;26,06%
30/7/2020;20,23%
6/8/2020;23,29%
13/8/2020;30,04%
20/8/2020;30,39%
27/8/2020;32,08%
3/9/2020;30,80%
10/9/2020;23,71%
17/9/2020;32,02%
24/9/2020;24,89%
1/10/2020;26,24%
8/10/2020;34,74%
15/10/2020;34,78%
22/10/2020;35,75%
29/10/2020;35,29%
5/11/2020;37,96%
12/11/2020;55,84%
19/11/2020;44,35%
27/11/2020;47,25%
3/12/2020;49,07%
10/12/2020;48,06%
17/12/2020;43,43%
24/12/2020;43,57%
31/12/2020;46,08%
7/1/2021;45,19%
21/1/2021;42,55%
28/1/2021;37,66%
4/2/2021;37,35%
11/2/2021;45,45%
18/2/2021;47,06%
25/2/2021;45,93%
4/3/2021;40,26%
11/3/2021;49,41%
18/3/2021;48,94%
25/3/2021;50,95%
1/4/2021;45,83%
8/4/2021;56,91%
15/4/2021;53,82%
22/4/2021;52,68%
29/4/2021;42,57%
6/5/2021;44,31%
13/5/2021;36,52%
20/5/2021;37,03%
27/5/2021;36,43%
3/6/2021;44,07%
10/6/2021;40,23%
17/6/2021;41,12%
24/6/2021;40,42%
1/7/2021;48,65%
8/7/2021;40,20%
15/7/2021;36,17%
22/7/2021;30,65%
29/7/2021;36,16%
5/8/2021;36,07%
12/8/2021;36,97%
19/8/2021;33,17%
26/8/2021;39,56%
2/9/2021;43,43%
9/9/2021;38,89%
16/9/2021;22,45%
23/9/2021;29,90%
30/9/2021;28,14%
7/10/2021;25,47%
14/10/2021;37,91%
21/10/2021;46,89%
27/10/2021;39,83%
4/11/2021;41,50%
11/11/2021;48,00%
18/11/2021;38,84%
24/11/2021;33,81%
2/12/2021;26,67%
9/12/2021;29,72%
16/12/2021;25,24%
23/12/2021;29,57%
30/12/2021;37,66%
6/1/2022;32,76%
13/1/2022;24,91%
20/1/2022;20,96%
27/1/2022;23,14%
3/2/2022;26,49%
10/2/2022;24,36%
17/2/2022;19,25%
24/2/2022;23,39%
3/3/2022;30,39%
10/3/2022;24,00%
17/3/2022;22,47%
24/3/2022;32,80%
31/3/2022;31,88%
7/4/2022;24,71%
14/4/2022;15,84%
21/4/2022;18,87%
28/4/2022;16,44%
5/5/2022;26,87%
12/5/2022;24,32%
19/5/2022;25,97%
26/5/2022;19,85%
2/6/2022;32,02%
9/6/2022;21,02%
16/6/2022;19,44%
23/6/2022;18,20%
30/6/2022;22,78%
7/7/2022;19,38%
14/7/2022;26,89%
21/7/2022;29,59%
28/7/2022;27,72%
4/8/2022;30,56%
11/8/2022;32,15%
18/8/2022;33,33%
25/8/2022;27,70%
1/9/2022;21,92%
8/9/2022;18,07%
15/9/2022;26,13%
22/9/2022;17,73%
29/9/2022;19,95%
6/10/2022;23,92%
13/10/2022;20,36%
20/10/2022;22,60%
27/10/2022;26,59%
3/11/2022;30,56%
10/11/2022;25,09%
17/11/2022;33,45%
24/11/2022;28,86%
1/12/2022;24,47%
8/12/2022;24,73%
15/12/2022;24,30%
22/12/2022;20,31%
29/12/2022;26,49%
5/1/2023;20,51%
12/1/2023;24,03%
19/1/2023;30,97%
26/1/2023;28,37%
2/2/2023;29,90%
9/2/2023;37,50%
16/2/2023;34,12%
23/2/2023;21,65%
2/3/2023;23,38%
